propertyId,propertyName,propertyDescription,content,label
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,When she founded Apex Legal Document Preparation Services she became a Premium Member of the FALDP (Florida Association of Legal Document Preparers) and educated herself on the different types of divorce been offered across the State of Florida and learned from the best in the industry of legal document preparation services.,5
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"Tata Chemicals Europe (formerly Brunner Mond (UK) Limited) is a UK-based chemicals company that is a subsidiary of Tata Chemicals Limited, itself a part of the India-based Tata Group.",14
14,DATE_OF_DEATH,Describes the date of death of a person.,"After five successful albums and extensive touring, they disbanded after lead vocalist Sandman died of a heart attack onstage in Palestrina, Italy, on July 3, 1999.",4
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,He is a member of Phi Beta Kappa and was a Fulbright Fellow in Law in Brazil (1980-1981).,9
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"H.E. Sheikh Abdullah bin Mohammed bin Saud Al Thani (Arabic: عبد الله بن محمد بن سعود آل ثاني) is a Qatari businessman, politician and a member of the royal family.",9
6,HEADQUARTERS,Describes the specific location where an organization's headquarters is or has been situated.,"Gorgeous Hire, located in South West London, is just as passionate about catering equipment hire as it was 30 years ago.",8
10,NATIONALITY,Describes he country of a person's citizenship or country in which the person is deemed a national.,"James Patrick Harris (born 1954), better known as Jim Harris, is an American naturalist, writer, and artist from El Paso, Texas.",9
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"When I found myself downsized in 2010, I decided it was time to combine my photo/video hobby with my technical knowledge, so I enrolled at Specs Howard School of Media Arts, where I studied Digital Media Arts (DMA).",5
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,Dr. Bekish attended Temple University School of Dentistry and graduated first in his class out of 125 students.,5
9,EDUCATED_AT,Describes the relationship between a person and the institution where she/he studied.,"I enrolled at the second university in Anadolu University in 2017,this department is the Aviation Management.",5
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"Tim was obsessing over bands, running a fanzine and releasing Bloc Party's debut single, Toby was running reputable website rockfeedback.com, which he set up aged 15 from his bedroom, whilst making shows for MTV and - promoting a Bloc Party gig.",7
25,SPOUSE,Describes the relationship between a person and her/his spouse.,"Les married Reva Parry in 1933 and by 1946, he was a divisional manager at ZCMI.",13
1,SUBSIDIARY_OF,Describes the relationship between a parent company and one of its subsidiaries.,"KG and Celgene Cellular Therapeutics, a subsidiary of Celgene Corporation.",14
4,CEO,Describes the relationship between an organization and its CEO.,"John F. Lundgren is CEO and Chairman of Stanley Black & Decker (SWK), a position he has held since March 1, 2004.",0
2,FOUNDED_BY,Describes the relationship between an organization and its founder or co-founder.,"Before forming Collins, O’Neal & Swofford in 2009, Rob served as Vice President and general counsel to a Houston engineering and consulting firm that serviced clients throughout the United States and overseas.",7
25,SPOUSE,Describes the relationship between a person and her/his spouse.,A number of the Kharijites met in Mecca and remembered the Battle of Nahrawan that was fought in 659 by the Caliphate under Ali and the Kharijites in Baghdad which resulted in Khariji defeat.,13
