content	passageId	label	propertyName	propertyId	propertyDescription
He is also chairman of Think Tank of Pakistan, chairman of Pakistan institute of Media Sciences, President of Institute of Modern Journalism, General Secretary of Institute of National Affairs, General Secretary of Institute of Media & Politics, General Secretary of Institute of Media and Society, General Secretary of Pakistan Media Forum.	14752:1502:1843	0	CEO	4	Describes the relationship between an organization and its CEO.
He is PhD in Mass Communication and Gold Medalist in Master of computer Sciences and Master of Business Administration and information technology, during his career he was Editor and Chief Editor of many National Newspapers.	14752:399:623	0	EDUCATED_AT	9	Describes the relationship between a person and the institution where she/he studied.
Dr Muhammad Ather Khurram is Chief Executive Officer of Media Network International and Chief Operating Officer of all operations, projects and TV channels of M..	14752:27:189	0	CEO	4	Describes the relationship between an organization and its CEO.
He was born in Glasgow the son of Thomas Thomson, chemistry professor at Glasgow University.	14194:254:346	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Rex G. Maughan is the founder, president, and CEO of Forever Living Products, a multi-level marketing program that sells aloe-vera based cosmetics and other personal products.	7038:13:188	0	CEO	4	Describes the relationship between an organization and its CEO.
Rizwan obtained a bachelor's degree from the Indian Institute of Technology, and a Master’s Degree from the Massachusetts Institute of Technology.	7205:242:388	0	EDUCATED_AT	9	Describes the relationship between a person and the institution where she/he studied.
Hilde Magnusson Lydvo (born 11 June 1970 in Narvik) is a Norwegian politician for the Labour Party.	29317:23:122	0	POLITICAL_AFFILIATION	45	Describes the relationship between a person and her/his political affiliation.
Fred J. Hart (August 20, 1888 – 1976) was an American farmer and businessman.	29097:14:91	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
He is the current CEO, Director and Chairman of the Executive Committee of Sodexo.	7179:77:159	0	CEO	4	Describes the relationship between an organization and its CEO.
Michel Landel was born on 7 November 1951 in Meknes, Morocco.	7179:15:76	0	PLACE_OF_BIRTH	12	Describes the relationship between a person and the location where she/he was born.
Ole Bjørn Sundgot (born 21 March 1972) is a Norwegian former footballer who played as a striker, for Molde, Bradford City and Lyn.	5001:19:149	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
James Ferguson Conant (born June 10, 1958) is an American philosopher who has written extensively on topics in philosophy of language, ethics, and metaphilosophy.	4988:17:179	0	DATE_OF_BIRTH	15	Describes the date of birth of a person.
